,Sales & Marketing,Engineering Research & Development,Customer Services,Business Operations,Leadership,Other,total_jobs
ericsson,1,32,0,5,21,0,59
honeywell,5,23,1,22,24,0,75
jpmorgan chase,0,0,4,25,0,0,29
on target staffing,0,0,6,0,17,0,23
target,0,3,0,43,1,0,47
target building inspections,0,1,0,0,0,0,1
all on target,0,0,0,0,0,0,0
action target,0,0,0,0,0,0,0
hp manufacturing,0,0,0,0,9,0,9
hp,6,15,1,16,10,0,48
hp legacy care group,0,0,0,0,1,0,1
hp hood llc,0,1,0,1,2,0,4
hp hood,0,0,0,0,5,0,5
hp transportation,0,0,0,0,0,4,4
hp diagnostics,0,0,0,0,0,0,0
wipro limited,0,17,4,20,1,0,42
wipro,0,3,3,2,2,0,10
wipro ltd,1,11,0,2,2,0,16
matrix resources,0,9,0,6,1,0,16
ibm,10,21,0,6,12,0,49
modis it,0,0,0,0,4,0,4
modis architects,0,4,0,0,5,0,9
walmart,1,1,25,1,23,8,59
walmart dc7012,0,0,0,0,4,0,4
walmart dc 7077,0,0,0,0,1,0,1
acosta - walmart,2,0,0,0,0,0,2
walmart super-center,0,0,0,0,0,0,0
walmart 2768,0,0,0,0,0,0,0
walmart ecommerce,0,0,0,0,0,0,0
"walmart neighborhood market- northport, al",0,0,1,0,0,0,1
"walmart eau claire, wi",0,0,0,0,0,0,0
walmart distribution center,0,0,0,0,0,0,0
"walmart ""moline""",0,0,0,0,0,0,0
cellular sales,5,0,0,0,0,0,5
reno's trailer sales/tnt sales,4,0,0,0,0,0,4
norwood sales inc,0,0,0,0,4,0,4
american industrial sales,4,0,0,0,0,0,4
vandahl engineering & sales,0,0,0,0,0,0,0
get fresh sales,0,0,0,0,0,0,0
sales executives,0,0,0,0,0,0,0
cobra car sales inc.,0,0,0,0,0,0,0
redrover sales & marketing strategy,0,0,0,0,3,0,3
xojet sales,0,0,0,0,0,1,1
thrifty car sales,0,0,0,0,0,0,0
asb sales,0,0,0,0,0,0,0
"total sales & marketing, inc.",4,0,0,0,0,0,4
penn tool sales and service,4,0,0,0,0,0,4
ohio truck sales,0,0,0,0,0,0,0
faines auto sales,3,0,0,0,0,0,3
vmware sales,1,0,0,0,0,0,1
home sales,0,0,0,0,0,0,0
camacho auto sales,0,0,0,0,0,0,0
pacwest sales group,1,0,0,0,0,0,1
